,Month 1,Month 2,Month 3,Month 4,Month 5
1FNFZB26,2,0,3,1,4
1FDBOM336,10,11,7,0,0
1FNJPG04,3,0,1,2,2
1FNRBL37,15,0,7,2,9
1FNSVR03,6,0,4,3,6
1FNCND06,5,1,3,0,1
1CRGJAH19,15,7,20,11,22
1FNVAR33,12,1,1,0,1
1FDALW16,4,2,7,14,9
1FNKAN40,12,2,19,9,15
1FDJAI130,3,0,0,0,0
1RDNVIS01,2,4,3,0,4
1FDFZB36,20,18,21,21,51
1FNAHM130,3,2,4,3,2
1FNFZB14,11,2,5,1,7
1RDWLUC51,8,13,15,9,6
1RDDNGU01,3,2,4,4,13
1FDKOL168,12,23,14,14,6
1CRHUPAL01,7,34,12,15,14
1FDLUC109,9,15,12,9,13
1FNKOL143,2,0,2,0,0
1FNLUC104,7,5,6,8,2
1FNANA37,1,2,0,2,3
1FNJNP16,30,23,8,3,65
1CRMHMU507,9,14,17,25,20
1CRGJAN12,3,2,10,4,11
1FNANA54,14,14,17,16,3
1RDDMUM69,8,3,5,5,1
1FNANA48,6,7,3,5,7
1FDBOM317,13,0,0,0,0
1FDAJM46,8,3,9,7,9
1CRMHMU513,7,11,21,22,15
1FDGKP11,20,13,15,7,7
1FNCHU16,2,3,5,2,15
1FNJHU05,14,9,16,7,1
1RDDMUM74,6,8,8,5,0
1FNNDA03,2,4,4,3,0
1FNVAR67,1,4,6,6,9
1FNABN18,5,7,2,1,2
1FNKOT16,7,3,1,4,6
1CRGJAH501,12,5,23,20,3
1CRHUPAL07,12,15,17,7,16
1CRRJSK04,26,18,20,18,24
1FNAJM80,4,1,1,1,1
1FDMEH29,5,4,4,6,9
1FNVAR73,7,9,7,19,9
1RDWAHM61,7,1,1,0,0
1RDDLUC22,5,17,16,14,18
1FNANA23,7,4,3,2,5
1CRRJSK01,8,3,2,17,1
1CRMHMU77,6,6,9,4,8
1FDRGH07,6,12,3,11,4
1RDDVAR10,19,12,29,17,18
1FNFTP13,6,7,12,15,18
1RDDGKP01,17,30,18,17,3
1RDDMUM15,11,15,16,7,3
1RDDLUC08,22,11,0,0,0
1FNALD51,5,12,6,2,5
1CRRJUD03,2,10,12,13,25
